B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,bsi,elev,mndwi,ndbi,ndvi,slope
392.5,1474.5,754.5,393,612.5,413.5,887,2139,2533,2495,2690.5,3064.5,-0.209380235,654,-0.413033062,-0.257085275,0.715660994,2.996304859
501,3762,2824,738,1142,1560,1957,2544,2777,2752,3021,2826,0.20789832,928,-0.534257749,0.15505066,0.276437848,2.118582249
467,3354,2354.5,643,920,1321.5,1643,2014.5,2268,2350,2554,2642.5,0.219404056,906,-0.569489939,0.17601683,0.280130737,2.084652667
561,2645,1965,551,760,934,1289,1707,1884,1924,2097,2256,0.182358771,766,-0.553597651,0.157802583,0.346396081,8.575761187
388,3023,2207,539,790,1059,1369,1836.5,2028.5,2189.5,2326,2308.5,0.198737244,869,-0.585628114,0.159904077,0.348006772,3.794814438
431,2238.5,1733,449,697.5,700.5,1156,1701,1947.5,2124.5,2013.5,2037.5,0.066303855,961,-0.52486376,0.02612881,0.504070796,2.937730363
773,2769,2194,860,1072,1142,1501,2054,2396,2466,2604,2681,0.0808346,707,-0.441812028,0.057879656,0.366962306,0.927409947
314.5,2449,1688.5,462.5,652.5,814,1228,1773,2003,2045,2285.5,2137,0.13092453,786,-0.579235854,0.089897641,0.430570129,1.854334169
618,3668,2891,803,1121,1466,1863.5,2323,2514,2562,2823.5,2839,0.208142134,781,-0.531843809,0.17752809,0.272095333,5.300951958
656,2986,2535,1438,1736,2020,1986,2178,2339,2741,2492,2118,0.090038106,781,-0.26471834,0.042779815,0.151438773,3.911388159
496,2596,1453,568,919,739,1392,2692,3127,3200,3317,3180,-0.060960158,660,-0.477098151,-0.1042098,0.624777862,1.900717258
628,3755,2745,909.5,1260,1397.5,1934.5,2173,2341,2224.5,2470.5,2651,0.24358897,708,-0.497507478,0.255957856,0.228326891,2.995816115
482,3084,2153,518,848,860,1532,2699,3132,3204,3397,3619,0.02895904,660,-0.568667345,-0.019083969,0.576771654,0.927409937
1028,2611,2445,1488,1873,2079,2150,2218,2285.5,2362,2349.5,2309.5,0.098360656,876,-0.164585192,0.05007038,0.063724386,7.056689178
511,3323,2504,633,879,1318,1646,1942,2120,2140,2343,2424,0.251955759,923,-0.581627796,0.216547684,0.237709659,2.658153057
434,2617,1773,607,954.5,942,1383,2609,3005,2971,3330,3070.5,-0.002662183,678,-0.46549069,-0.063350036,0.518527984,6.77124086
426.5,2860,2122.5,655.5,872,1223,1375.5,1755,1955,2170.5,2201,2077,0.181936604,636,-0.532690247,0.13706391,0.279210255,10.45117283
422,2548,1747,613,835,937,1294,1672,1914,1952,2168,2257,0.152066116,887,-0.506355306,0.132444444,0.351332641,15.85638517
612,3379,2649,802,1136,1488,1645,1957,2145,2494,2431,2713,0.192453755,892,-0.496788483,0.150689596,0.252636866,2.118492365
678,3669,2999,999,1380,1788,2090,2357,2605,2830,2902,2747,0.175317683,943,-0.4533571,0.129096784,0.225638805,0.927409947
350,2381,1608,437,666,937,1278,1785,2009,2114,2117,2221,0.130686659,733,-0.562848704,0.059399333,0.385775156,1.328129053
658.5,4176.5,3513,857.5,1227,1859,2141,2284.5,2472.5,2537,2667.5,2773.5,0.280063627,980,-0.545849912,0.244209429,0.154231119,2.780288515
567.5,2761.5,2179.5,907,1203,1343,1710.5,2371.5,2557,2781,2773.5,3006,0.053448829,625,-0.393113886,-0.003518268,0.348690592,1.899508715
687,4668,3870,998.5,1452,2155.5,2460.5,2655,2893.5,3020,3135.5,3004,0.258716104,773,-0.525490196,0.214360042,0.167037001,4.161384185
627.5,3236.5,2398,833,1127,1434,1800.5,2442,2734.5,2513,3005.5,3005,0.16522173,694,-0.483442191,0.125837029,0.273372181,1.327677676
622.5,4168,3427,872.5,1375,2296,2357.5,2670,2822,3209.5,2910.5,3020.5,0.225867628,825,-0.503878766,0.12992206,0.165924984,4.704798939
632.5,3577.5,2618.5,725.5,1110,1552,1734,2615,2848,3034.5,3175,3162,0.154058159,661,-0.5264,0.082123412,0.323231222,2.112813473
761.5,4389.5,3808.5,896.5,1349,1874,2459,2839,3070,3158.5,3306,3391.5,0.214033047,952,-0.529842293,0.16308956,0.255240934,1.329812527
618.5,2165.5,1678,920,1201,1320,1552,2120.5,2383,2395,2500,2938,0.025071686,805,-0.286499332,-0.050323429,0.289367429,10.13946247
