DISTRICT,NH,SH
Bagalkot,261.2658497272169,967.4151464306045
Bangalore,353.6793738004931,220.45292586099293
Bangalore Rural,324.78190881921205,263.1497382164286
Belgaum,576.5254032046207,2260.809920101777
Bellary,314.9529850778354,1007.21321081449
Bidar,264.33573362396197,606.3449736015347
Bijapur,424.6199752366025,702.4819028470386
Chamrajnagar,228.0446962782033,378.11520590978853
Chikkaballapura,231.5106046324385,347.17865676804246
Chikmagalur,381.6967316123137,591.163740999098
Chitradurga,542.4856748765943,512.5566783758741
Dakshina Kannada,320.6095023124601,495.35111500907396
Davanagere,208.27860504214786,924.6481797016374
Dharwad,346.4522726772797,635.5106618636654
Gadag,119.14965779584927,811.1999779648335
Gulbarga,311.15426106912065,1190.2905855719205
Hassan,490.89348736450864,974.3690777123389
Haveri,310.4760616017557,615.2477007014742
Kodagu,81.48944883842894,579.8019558286779
Kolar,258.95194550776046,366.84197811605475
Koppal,292.8437301070007,739.5135155883503
Mandya,375.66381486392896,400.20571468322544
Mysore,363.930769459796,638.9675985036062
Raichur,168.20231457567843,875.095854029332
Ramanagara,232.0780479914737,304.22423385966374
Shimoga,500.9154954890809,1004.704797861429
Tumkur,700.6028037046061,814.8817599211552
Udupi,281.76963527565744,314.141255722652
Uttara Kannada,427.2391104078189,1201.3461803653563
Yadgir,144.9628953086412,441.311139002509
